"filename", "language", "HTML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\products\asyncActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\products\selectors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\products\slice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 11, 53
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\products\types.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"c:\Users\luxurypluxury\Desktop\wedding\client\src\redux\store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\luxurypluxury\Desktop\wedding\client\src\scss\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 75, 0, 0, 12, 87
"c:\Users\luxurypluxury\Desktop\wedding\client\src\scss\mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\luxurypluxury\Desktop\wedding\client\src\scss\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
"c:\Users\luxurypluxury\Desktop\wedding\client\src\scss\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 5, 35
"c:\Users\luxurypluxury\Desktop\wedding\client\src\utils\formatDate.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\luxurypluxury\Desktop\wedding\client\src\utils\getPriceWithDiscount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\luxurypluxury\Desktop\wedding\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\luxurypluxury\Desktop\wedding\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 5, 0, 0, 0, 33, 0, 38
"c:\Users\luxurypluxury\Desktop\wedding\client\tsconfig.node.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\luxurypluxury\Desktop\wedding\client\vite.config.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\luxurypluxury\Desktop\wedding\server\controllers\CommentController.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\luxurypluxury\Desktop\wedding\server\controllers\ProductsController.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 51
